ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995343	164995771	164995343	164995422	164995886	164996121
45	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103502859	103503192	103502859	103502930	103509269	103510017
46	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496593	103496437	103496530	103518310	103518357
47	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103502859	103503192	103502859	103502930	103518310	103518357
50	"ENSMUSG00000031311.17"	"Nono"	chrX	+	101444687	101445334	101444687	101444790	101446118	101446228
53	"ENSMUSG00000031310.16"	"Zmym3"	chrX	-	101418272	101418952	101418794	101418952	101416908	101416981
64	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73782005	73782716	73782674	73782716	73781676	73781789
80	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41654005	41654924	41654005	41654253	41672218	41672466
85	"ENSMUSG00000031065.14"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696547	20696645
88	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738231	7738252
89	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738242	7738278
125	"ENSMUSG00000053453.9"	"Thoc7"	chr14	-	13957459	13957631	13957553	13957631	13957061	13957180
134	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126818293	126818393	126818293	126818353	126819823	126819954
135	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126818293	126818393	126818293	126818353	126819827	126819954
138	"ENSMUSG00000024807.18"	"Syvn1"	chr19	+	6050521	6051069	6050521	6050685	6051154	6051310
149	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127056	4127132	4127056	4127121	4127576	4127639
156	"ENSMUSG00000053580.16"	"Tanc2"	chr11	+	105713381	105713564	105713381	105713453	105758921	105759032
165	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467758	70468517	70468053	70468517	70467330	70467456
166	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467758	70468517	70468053	70468517	70467334	70467485
168	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70468053	70468517	70468220	70468517	70467334	70467485
172	"ENSMUSG00000024530.8"	"Prelid3a"	chr18	+	67476963	67477120	67476963	67477066	67479071	67479352
182	"ENSMUSG00000024425.4"	"Ndfip1"	chr18	+	38452304	38452429	38452304	38452371	38460544	38460650
185	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37941378	37941766	37941707	37941766	37940952	37941110
192	"ENSMUSG00000014503.15"	"Pkd2l2"	chr18	+	34416827	34417528	34416827	34417049	34421047	34422200
194	"ENSMUSG00000024384.4"	"Iws1"	chr18	+	32079670	32080577	32079670	32079985	32083268	32083458
197	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25491080	25491224	25491140	25491224	25487267	25487318
199	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25537676	25537755	25537706	25537755	25504889	25505018
207	"ENSMUSG00000024404.7"	"Riok3"	chr18	+	12135851	12136838	12135851	12135967	12136927	12137035
212	"ENSMUSG00000036438.14"	"Calm2"	chr17	-	87435603	87435934	87435790	87435934	87435075	87435211
213	"ENSMUSG00000032624.16"	"Eml4"	chr17	+	83473045	83473748	83473045	83473133	83477203	83477334
221	"ENSMUSG00000024073.16"	"Birc6"	chr17	+	74618435	74619838	74618435	74618563	74622035	74622251
248	"ENSMUSG00000046111.17"	"Cep295"	chr9	-	15331935	15335305	15335049	15335305	15330753	15330910
252	"ENSMUSG00000022992.17"	"Kansl2"	chr15	-	98529285	98529453	98529289	98529453	98528862	98529025
271	"ENSMUSG00000024050.18"	"Wiz"	chr17	-	32381055	32381156	32381083	32381156	32367823	32368147
281	"ENSMUSG00000024018.18"	"Ccdc167"	chr17	-	29704254	29704469	29704369	29704469	29687356	29690046
287	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564410	27564384	27564410	27563772	27564016
288	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564561	27564750	27564621	27564750	27564148	27564254
289	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564561	27564750	27564621	27564750	27564148	27564339
293	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936286	26936680	26936286	26936391	26936770	26936865
295	"ENSMUSG00000024186.15"	"Rgs11"	chr17	+	26203461	26204383	26203461	26203512	26207758	26207874
296	"ENSMUSG00000039615.9"	"Stub1"	chr17	-	25831101	25831631	25831308	25831631	25830635	25831010
302	"ENSMUSG00000024170.15"	"Telo2"	chr17	-	25106771	25107130	25106988	25107130	25105988	25106068
305	"ENSMUSG00000079657.10"	"Rab26"	chr17	-	24530054	24530443	24530390	24530443	24529913	24529970
308	"ENSMUSG00000036820.12"	"Amdhd2"	chr17	-	24157739	24158062	24157917	24158062	24156570	24156672
323	"ENSMUSG00000025571.13"	"Tnrc6c"	chr11	+	117749576	117753144	117749576	117749817	117755330	117755522
336	"ENSMUSG00000044477.12"	"Zfand3"	chr17	+	30135322	30135659	30135322	30135505	30153302	30153368
339	"ENSMUSG00000054874.12"	"Pcnx3"	chr19	-	5683276	5683412	5683306	5683412	5681431	5681574
348	"ENSMUSG00000091625.8"	"Lsm5"	chr6	-	56703313	56703409	56703317	56703409	56703005	56703033
357	"ENSMUSG00000053291.15"	"Rab4b"	chr7	-	27175778	27176238	27176157	27176238	27174715	27174778
363	"ENSMUSG00000022801.13"	"Lrch3"	chr16	+	32994947	32995011	32994947	32994996	32997381	32997488
370	"ENSMUSG00000022884.16"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111502	23111592
381	"ENSMUSG00000091586.2"	"Cyp4f17"	chr17	+	32506893	32507108	32506893	32507092	32517893	32518038
383	"ENSMUSG00000005262.13"	"Ufd1"	chr16	+	18814829	18814962	18814829	18814936	18817902	18818024
385	"ENSMUSG00000096370.8"	"Gm21992"	chr19	-	4793815	4794009	4793925	4794009	4792634	4792820
387	"ENSMUSG00000022763.18"	"Aifm3"	chr16	+	17500288	17500534	17500288	17500398	17500746	17500843
389	"ENSMUSG00000022788.16"	"Fgd4"	chr16	-	16503985	16504216	16504096	16504216	16484089	16484597
392	"ENSMUSG00000022789.15"	"Dnm1l"	chr16	-	16345979	16346145	16345997	16346145	16342696	16342735
398	"ENSMUSG00000022515.6"	"Anks3"	chr16	-	4947648	4948363	4948225	4948363	4947264	4947432
399	"ENSMUSG00000039637.15"	"Coro7"	chr16	-	4634588	4634907	4634761	4634907	4634298	4634430
401	"ENSMUSG00000036678.8"	"Aaas"	chr15	-	102339185	102339418	102339324	102339418	102338816	102338887
412	"ENSMUSG00000006958.14"	"Chrd"	chr16	+	20735745	20736143	20735745	20735893	20736263	20736383
413	"ENSMUSG00000006958.14"	"Chrd"	chr16	+	20735745	20736143	20735745	20735893	20736908	20737065
422	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89186362	89187243	89186955	89187243	89186171	89186261
423	"ENSMUSG00000015377.10"	"Dennd6b"	chr15	-	89186955	89187243	89187147	89187243	89186362	89186427
429	"ENSMUSG00000061740.8"	"Cyp2d22"	chr15	-	82373903	82374469	82374297	82374469	82372389	82372577
430	"ENSMUSG00000061740.8"	"Cyp2d22"	chr15	-	82373110	82373833	82373672	82373833	82372784	82372926
431	"ENSMUSG00000022474.15"	"Pmm1"	chr15	-	81957792	81957910	81957895	81957910	81956168	81956260
441	"ENSMUSG00000033287.16"	"Kctd17"	chr15	+	78436900	78437099	78436900	78436963	78437583	78437671
442	"ENSMUSG00000033287.16"	"Kctd17"	chr15	+	78436900	78437099	78436900	78436994	78437583	78437671
445	"ENSMUSG00000022550.18"	"Adck5"	chr15	+	76594152	76594447	76594152	76594284	76594528	76594610
447	"ENSMUSG00000022564.7"	"Grina"	chr15	+	76248448	76248900	76248448	76248649	76248977	76249121
450	"ENSMUSG00000029290.12"	"Zfp326"	chr5	+	105886316	105888839	105886316	105886428	105891117	105891316
452	"ENSMUSG00000052752.15"	"Traf7"	chr17	-	24519113	24519246	24519130	24519246	24518741	24518794
462	"ENSMUSG00000022558.16"	"Mroh1"	chr15	+	76421139	76423835	76421139	76421213	76427108	76427216
471	"ENSMUSG00000022295.8"	"Atp6v1c1"	chr15	+	38679319	38681165	38679319	38679411	38686803	38686896
472	"ENSMUSG00000033029.12"	"1700088E04Rik"	chr15	-	79140768	79140992	79140880	79140992	79135636	79135765
475	"ENSMUSG00000034254.17"	"Agpat1"	chr17	+	34610871	34611005	34610871	34610926	34611604	34611700
476	"ENSMUSG00000029108.14"	"Pcdh7"	chr5	+	57913155	57913372	57913155	57913348	57915803	57916032
477	"ENSMUSG00000029108.14"	"Pcdh7"	chr5	+	57913155	57913372	57913155	57913348	57942166	57942262
481	"ENSMUSG00000022201.16"	"Zfr"	chr15	+	12118238	12118341	12118238	12118338	12135266	12135290
487	"ENSMUSG00000087177.7"	"E130307A14Rik"	chr10	-	39640275	39640511	39640379	39640511	39632949	39633016
490	"ENSMUSG00000033964.12"	"Zbtb41"	chr1	+	139429125	139429333	139429125	139429158	139430280	139430350
499	"ENSMUSG00000022111.9"	"Uchl3"	chr14	+	101665760	101668576	101665760	101665889	101690571	101690647
500	"ENSMUSG00000042810.14"	"Krba1"	chr6	+	48413362	48414151	48413362	48413503	48414489	48414600
504	"ENSMUSG00000115529.1"	"9630013A20Rik"	chr14	-	84475888	84476039	84476008	84476039	84472212	84472704
520	"ENSMUSG00000022617.15"	"Chkb"	chr15	-	89428410	89428827	89428713	89428827	89428133	89428229
525	"ENSMUSG00000022220.14"	"Adcy4"	chr14	-	55769791	55770132	55770024	55770132	55769372	55769497
526	"ENSMUSG00000022220.14"	"Adcy4"	chr14	-	55772660	55773559	55773421	55773559	55772245	55772430
528	"ENSMUSG00000079197.10"	"Psme2"	chr14	-	55587653	55588094	55588039	55588094	55587446	55587565
534	"ENSMUSG00000022211.9"	"Carmil3"	chr14	+	55505399	55505659	55505399	55505466	55507117	55507236
556	"ENSMUSG00000021288.19"	"Klc1"	chr12	+	111789324	111789486	111789324	111789459	111793648	111793699
557	"ENSMUSG00000021288.19"	"Klc1"	chr12	+	111789324	111789486	111789324	111789459	111795547	111795678
