ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995343	164995771	164995343	164995422	164995886	164996121
33	"ENSMUSG00000031425.15"	"Plp1"	chrX	+	136831952	136832214	136831952	136832109	136834154	136834228
46	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103502859	103503192	103502859	103502930	103518310	103518357
61	"ENSMUSG00000002014.12"	"Ssr4"	chrX	+	73789799	73790424	73789799	73789874	73790653	73790826
62	"ENSMUSG00000002010.17"	"Idh3g"	chrX	-	73780573	73781030	73780897	73781030	73780212	73780315
74	"ENSMUSG00000036131.12"	"Frmd7"	chrX	-	50915315	50915388	50915345	50915388	50909750	50909848
79	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41654005	41654924	41654005	41654253	41672218	41672466
86	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738231	7738252
87	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738242	7738278
90	"ENSMUSG00000026812.16"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671881	28672392	28672504
91	"ENSMUSG00000026812.16"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671923	28672392	28672504
97	"ENSMUSG00000025036.7"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590483	46590550
126	"ENSMUSG00000053453.9"	"Thoc7"	chr14	-	13957459	13957631	13957553	13957631	13957061	13957180
135	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126818293	126818393	126818293	126818353	126819827	126819954
138	"ENSMUSG00000024807.18"	"Syvn1"	chr19	+	6050521	6051069	6050521	6050685	6051154	6051310
147	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4158609	4158919	4158802	4158919	4158065	4158363
150	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127056	4127132	4127056	4127121	4127576	4127639
157	"ENSMUSG00000053580.16"	"Tanc2"	chr11	+	105713381	105713564	105713381	105713453	105758921	105759032
164	"ENSMUSG00000024560.7"	"Cxxc1"	chr18	+	74219130	74219567	74219130	74219238	74219837	74220045
165	"ENSMUSG00000024515.13"	"Smad4"	chr18	-	73649725	73649909	73649862	73649909	73648884	73649053
167	"ENSMUSG00000024889.5"	"Rce1"	chr19	-	4624659	4624763	4624684	4624763	4624013	4624151
169	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467758	70468517	70468053	70468517	70467334	70467485
171	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70468053	70468517	70468220	70468517	70467334	70467485
175	"ENSMUSG00000024530.8"	"Prelid3a"	chr18	+	67476963	67477120	67476963	67477066	67479071	67479352
180	"ENSMUSG00000024622.8"	"Hmgxb3"	chr18	-	61157342	61157761	61157614	61157761	61155259	61155432
181	"ENSMUSG00000024622.8"	"Hmgxb3"	chr18	-	61157574	61157761	61157614	61157761	61155259	61155432
