ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSMUSG00000047757.17"	"Fancb"	chrX	+	164995343	164995771	164995343	164995422	164995886	164996121
42	"ENSMUSG00000087174.7"	"5530601H04Rik"	chrX	-	105043124	105043304	105043129	105043304	105042658	105042817
46	"ENSMUSG00000097571.9"	"Jpx"	chrX	+	103496437	103496593	103496437	103496530	103524866	103525012
49	"ENSMUSG00000031311.17"	"Nono"	chrX	+	101444687	101445334	101444687	101444790	101446118	101446228
59	"ENSMUSG00000031398.13"	"Plxna3"	chrX	+	74335769	74336191	74335769	74335866	74336276	74336422
77	"ENSMUSG00000037475.15"	"Thoc2"	chrX	-	41813416	41814008	41813949	41814008	41812458	41812575
79	"ENSMUSG00000001986.16"	"Gria3"	chrX	+	41654005	41654924	41654005	41654253	41672218	41672466
84	"ENSMUSG00000031065.14"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696547	20696645
87	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738231	7738252
88	"ENSMUSG00000031150.13"	"Ccdc120"	chrX	-	7738361	7738523	7738369	7738523	7738242	7738278
91	"ENSMUSG00000026812.16"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671881	28672392	28672504
92	"ENSMUSG00000026812.16"	"Tsc1"	chr2	+	28671765	28672087	28671765	28671923	28672392	28672504
98	"ENSMUSG00000025036.7"	"Sfxn2"	chr19	+	46587934	46590201	46587934	46588010	46590483	46590550
104	"ENSMUSG00000037578.4"	"Pkd2l1"	chr19	-	44152032	44152462	44152363	44152462	44150411	44150529
128	"ENSMUSG00000053453.9"	"Thoc7"	chr14	-	13957459	13957631	13957553	13957631	13957061	13957180
137	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126818293	126818393	126818293	126818353	126819823	126819954
138	"ENSMUSG00000058966.13"	"Fam57b"	chr7	+	126818293	126818393	126818293	126818353	126819827	126819954
141	"ENSMUSG00000024807.18"	"Syvn1"	chr19	+	6050521	6051069	6050521	6050685	6051154	6051310
150	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4158609	4158919	4158828	4158919	4158065	4158128
151	"ENSMUSG00000024830.17"	"Rps6kb2"	chr19	-	4158824	4158919	4158828	4158919	4158065	4158128
154	"ENSMUSG00000024845.17"	"Tmem134"	chr19	+	4127056	4127132	4127056	4127121	4127576	4127639
161	"ENSMUSG00000053580.16"	"Tanc2"	chr11	+	105713381	105713564	105713381	105713453	105758921	105759032
166	"ENSMUSG00000011658.16"	"Fuz"	chr7	+	44898984	44899386	44898984	44899091	44900132	44900624
169	"ENSMUSG00000024560.7"	"Cxxc1"	chr18	+	74219130	74219567	74219130	74219238	74219837	74220045
171	"ENSMUSG00000024889.5"	"Rce1"	chr19	-	4624659	4624763	4624684	4624763	4624013	4624151
173	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467330	70467485	70467334	70467485	70453193	70453388
174	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70467758	70468517	70468053	70468517	70467334	70467485
176	"ENSMUSG00000044906.6"	"4930503L19Rik"	chr18	-	70468053	70468517	70468220	70468517	70467334	70467485
180	"ENSMUSG00000024530.8"	"Prelid3a"	chr18	+	67476963	67477120	67476963	67477066	67479071	67479352
190	"ENSMUSG00000024425.4"	"Ndfip1"	chr18	+	38452304	38452429	38452304	38452371	38460544	38460650
191	"ENSMUSG00000060450.14"	"Rnf14"	chr18	+	38300428	38300583	38300428	38300484	38301655	38301807
193	"ENSMUSG00000060450.14"	"Rnf14"	chr18	+	38300428	38300590	38300428	38300583	38301655	38301807
194	"ENSMUSG00000060450.14"	"Rnf14"	chr18	+	38300428	38300590	38300428	38300583	38307864	38308395
196	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37941378	37941766	37941707	37941766	37940952	37941110
197	"ENSMUSG00000024454.16"	"Hdac3"	chr18	-	37943677	37944209	37944128	37944209	37943455	37943520
205	"ENSMUSG00000024384.4"	"Iws1"	chr18	+	32079670	32080577	32079670	32079985	32083268	32083458
208	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25491080	25491224	25491140	25491224	25487267	25487318
210	"ENSMUSG00000024268.16"	"Celf4"	chr18	-	25537676	25537755	25537706	25537755	25504889	25505018
218	"ENSMUSG00000024404.7"	"Riok3"	chr18	+	12135851	12136838	12135851	12135967	12136927	12137035
220	"ENSMUSG00000024404.7"	"Riok3"	chr18	+	12142935	12143194	12142935	12143063	12152798	12152879
223	"ENSMUSG00000004952.13"	"Rasa4"	chr5	+	136104515	136105739	136104515	136104653	136107070	136107191
225	"ENSMUSG00000036438.14"	"Calm2"	chr17	-	87435603	87435934	87435790	87435934	87435075	87435211
226	"ENSMUSG00000032624.16"	"Eml4"	chr17	+	83473045	83473748	83473045	83473133	83477203	83477334
255	"ENSMUSG00000032842.13"	"Abcc10"	chr17	-	46304156	46304475	46304329	46304475	46303912	46304025
261	"ENSMUSG00000046111.17"	"Cep295"	chr9	-	15331935	15335305	15335049	15335305	15330753	15330910
277	"ENSMUSG00000072825.11"	"Cep170b"	chr12	+	112732004	112732085	112732004	112732083	112732501	112732558
284	"ENSMUSG00000024661.7"	"Fth1"	chr19	+	9982703	9984327	9982703	9982983	9984559	9984685
285	"ENSMUSG00000024050.18"	"Wiz"	chr17	-	32381055	32381156	32381083	32381156	32367823	32368147
300	"ENSMUSG00000062753.14"	"AI413582"	chr17	-	27564148	27564410	27564384	27564410	27563772	27564016
304	"ENSMUSG00000024193.8"	"Phf1"	chr17	+	26936286	26936680	26936286	26936391	26936770	26936865
306	"ENSMUSG00000024186.15"	"Rgs11"	chr17	+	26203461	26204383	26203461	26203512	26207395	26207457
307	"ENSMUSG00000039615.9"	"Stub1"	chr17	-	25831101	25831631	25831308	25831631	25830635	25831010
313	"ENSMUSG00000024170.15"	"Telo2"	chr17	-	25106771	25107130	25106988	25107130	25105988	25106068
316	"ENSMUSG00000079657.10"	"Rab26"	chr17	-	24530054	24530443	24530390	24530443	24529740	24529817
317	"ENSMUSG00000079657.10"	"Rab26"	chr17	-	24530054	24530443	24530390	24530443	24529913	24529970
334	"ENSMUSG00000025571.13"	"Tnrc6c"	chr11	+	117749576	117753144	117749576	117749817	117755330	117755522
335	"ENSMUSG00000025571.13"	"Tnrc6c"	chr11	+	117749576	117753144	117749576	117749817	117755962	117756106
